title,type,episodes,status,picture,duration,score,synonyms,tags,year
Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,TV,12,FINISHED,https://cdn.myanimelist.net/images/anime/1890/131473.jpg,1380,7.053977682772714,"['000 Gold in Another World for My Retirement', ""J'épargne 80 000 pièces d'or dans un autre monde pour ma retraite"", 'J`épargne 80 000 pièces d`or dans un autre monde pour ma retraite', 'J’épargne 80 000 pièces d’or dans un autre monde pour ma retraite', 'Rougo ni Sonaete Isekai de 8-Man-Mai no Kinka wo Tamemasu', 'Rougo ni Sonaete Isekai de 8-manmai no Kinka o Tamemasu', 'Roukin', 'Roukin 8', 'Rōgo ni Sonaete Isekai de 8-manmai no Kinka o Tamemasu', 'Saving 80', 'Saving 80,000 Gold Coins in the Different World for My Old Age', 'Saving 80,000 Gold in Another World for My Retirement', 'Saving 80,000 Gold in Another World for my Retirement', 'Saving 80000 Gold in Another World for My Retirement', 'roukin', 'Коплю 80 тысяч золотых в другом мире на пенсию', 'Я коплю 80.000 золотых в другом мире на пенсию', 'เก็บเงินต่างโลก 8 หมื่นเหรียญ ไว้ใช้ยามเกษียณไงคะ', 'เก็บเหรียญทองแปดหมื่นเหรียญไว้ใช้หลังเกษียณอยู่ค่ะ', 'ろうきん8', '为了养老金去异世界存八万金', '為了養老金去異界存八萬金', '老後に備えて異世界で8万枚の金貨を貯めます', '老後に備えて異世界で８万枚の金貨を貯めます']","['absurdist humour', 'action', 'adventure', 'adventure comedy', 'alternative world', 'asymmetric warfare', 'based on a light novel', 'comedy', 'crunchyroll co-production', 'cute girls doing cute things', 'demons', 'dialogue driven', 'disaster', 'dragons', 'economics', 'fantasy', 'female protagonist', 'feudal warfare', 'fictional location', 'fighting', 'flat chest jokes', 'food', 'goblin', 'guns', 'heroine of strong character', 'historical', 'isekai', 'japanese production', 'language barrier', 'magic', 'medieval', 'middle ages', 'military', 'modern knowledge', 'novel', 'orphans', 'parallel world', 'parody', 'person in a strange world', 'place', 'present', 'primarily teen cast', 'rural', 'sexual humour', 'slice of life', 'stereotypes', 'storytelling', 'talking is a free action', 'tragedy', 'violence', 'war', 'wealth-related humour']",2023
Roujin Z,MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/1584/93628.jpg,4740,7.0627563159944104,"['Elderly Person Z', 'Old Man Z', 'Old Person Z', 'Roujin-Z', 'Rouzin Z', 'Rôjin Z', 'Rōjin Z', 'Vieillard Z', 'Дідуган Зед', '老人Z', '老人Ｚ']","['action', 'adult cast', 'aging', 'android', 'artificial intelligence', 'asia', 'award winning', 'college', 'comedy', 'cyberpunk', 'detailed landscapes', 'drama', 'earth', 'elderly protagonist', 'female protagonist', 'fugitive', 'hacking', 'healthcare and medicine', 'japan', 'japanese production', 'male protagonist', 'mecha', 'medical', 'military', 'non-human protagonists', 'nurses', 'original work', 'piloted robot', 'place', 'politics', 'present', 'primarily adult cast', 'real robot', 'rehabilitation', 'robot', 'robots', 'robots & android', 'satire', 'sci fi', 'sci-fi', 'science fiction', 'science-fiction', 'seinen', 'social commentary', 'speculative fiction', 'stand-alone movie', 'time', 'transforming craft']",1991
Roy wa Hamkkehaneun Sobanganjeon Iyagi,TV,26,FINISHED,https://cdn.myanimelist.net/images/anime/1729/137911.jpg,360,0.0,"['Fire Safety with Roy', 'Roywa Hamkke Haneun Sobang Anjeon Iyagi', '로이와 함께 하는 소방안전 이야기', '로이와 함께하는 소방안전 이야기']","['cg-anime', 'comedy', 'educational', 'episodic', 'kids', 'racing']",2017
Rozen Maiden,TV,12,FINISHED,https://cdn.myanimelist.net/images/anime/1424/108431.jpg,1440,7.3340376554662265,"['rm', 'Дева-роза', 'Діви Розена', 'Момичето на Розен', 'ろーぜんめいでん', 'ローゼンメイデン', 'ローゼンメイデン (2004)', '蔷薇少女']","['action', 'adventure', 'alice`s adventures in wonderland', 'angst', 'anthropomorphism', 'asia', 'based on a manga', 'battle royale', 'bionic powers', 'boy meets girl', 'bullying', 'comedy', 'coming of age', 'confession', 'contemporary fantasy', 'contractor', 'daily life', 'detective', 'doll', 'drama', 'earth', 'ensemble cast', 'family life', 'fantasy', 'fictional location', 'following one`s dream', 'forbidden love', 'found family', 'hikikomori', 'japan', 'japanese production', 'kuudere', 'magic', 'male protagonist', 'manga', 'master-servant relationship', 'moe', 'ojou-sama', 'parental abandonment', 'place', 'plot continuity', 'present', 'primarily female cast', 'psi-powers', 'rehabilitation', 'romance', 'school life', 'seinen', 'show within a show', 'slapstick', 'speculative fiction', 'sudden girlfriend appearance', 'super deformed', 'super power', 'supernatural', 'supernatural drama', 'tales', 'there can be only one', 'time', 'trauma', 'tropes', 'tsundere', 'under one roof', 'urban', 'urban fantasy']",2004
Rozen Maiden (2013),TV,13,FINISHED,https://cdn.myanimelist.net/images/anime/10/52079.jpg,1440,7.240781279664877,"['Rozen Maiden', 'Rozen Maiden 3', 'Rozen Maiden Third Season', 'Rozen Maiden Zuruckspulen', 'Rozen Maiden Zurückspulen', 'Rozen Maiden: Rewind', 'Rozen Maiden: Zurückspulen', 'rm s3', 'rm3', 'rozen2013', 'rozenmaiden s3', 'ローゼンメイデン', 'ローゼンメイデン (2013)', 'ローゼンメイデン （2013）', '新蔷薇少女']","['action', 'adventure', 'alternate universe', 'anthropomorphism', 'asia', 'based on a manga', 'battle royale', 'character driven', 'college', 'comedy', 'contemporary fantasy', 'contractor', 'doll', 'drama', 'earth', 'ending', 'family life', 'fantasy', 'fictional location', 'heterosexual', 'hikikomori', 'japan', 'japanese production', 'kuudere', 'magic', 'male protagonist', 'manga', 'master-servant relationship', 'moe', 'ojou-sama', 'open-ended', 'parallel world', 'parental abandonment', 'place', 'present', 'primarily female cast', 'rehabilitation', 'romance', 'seinen', 'speculative fiction', 'super power', 'supernatural', 'supernatural drama', 'there can be only one', 'thriller', 'time', 'time skip', 'tropes', 'tsundere', 'urban', 'urban fantasy']",2013
Rozen Maiden: Träumend,TV,12,FINISHED,https://cdn.myanimelist.net/images/anime/4/10242.jpg,1440,7.585024027119265,"['Rozen Maiden - Träumend', 'Rozen Maiden 2', 'Rozen Maiden Traumend', 'Rozen Maiden Träumend', 'Rozen Maiden träumend', 'Rozen Maiden: Dreaming', 'Rozen Maiden: Traeumend', 'Rozen Maiden: Traumend', 'rm s2', 'rm2', 'rmt', 'rozenmaiden s2', 'rozenmtr', 'Діви Розена: Сни', 'ローゼンメイデン ~ トロイメント', 'ローゼンメイデン トロイメント', '蔷薇少女 梦之终结', '蔷薇少女2~梦见~']","['action', 'adventure', 'anthropomorphism', 'asia', 'based on a manga', 'battle royale', 'bionic powers', 'comedy', 'contemporary fantasy', 'contractor', 'doll', 'drama', 'earth', 'ensemble cast', 'family life', 'fantasy', 'fantasy world', 'fictional location', 'found family', 'hikikomori', 'japan', 'japanese production', 'kuudere', 'magic', 'male protagonist', 'manga', 'master-servant relationship', 'moe', 'ojou-sama', 'parallel universe', 'parallel world', 'place', 'present', 'primarily female cast', 'psi-powers', 'rehabilitation', 'romance', 'school', 'seinen', 'sequel', 'show within a show', 'speculative fiction', 'stereotypes', 'super deformed', 'super power', 'supernatural', 'supernatural drama', 'there can be only one', 'time', 'tragedy', 'tropes', 'tsundere', 'urban', 'urban fantasy']",2005
RPG Fudousan,TV,12,FINISHED,https://cdn.myanimelist.net/images/anime/1680/122002.jpg,1380,6.945727891156462,"['RPG Fudōsan', 'RPG Real Estate', 'RPG-недвижимость', 'RPG不动产', 'RPG不動產', 'RPG不動産', 'ＲＰＧ不動産']","['action', 'adventure', 'based on a 4-koma manga', 'based on a manga', 'cgdct', 'comedy', 'cute girls doing cute things', 'demon', 'dissociative identities', 'dragons', 'ecchi', 'european stylised', 'fantasy', 'female protagonist', 'iyashikei', 'japanese production', 'magic', 'manga', 'moe', 'monster girl', 'multi-segment episodes', 'predominantly female cast', 'primarily female cast', 'real estate', 'rural', 'seinen', 'skimpy clothing', 'slice of life', 'sudden naked girl appearance', 'tomboy', 'tragedy', 'work', 'working life']",2022
Rubi Yoyo,TV,52,FINISHED,https://cdn.myanimelist.net/images/anime/1438/115311.jpg,420,0.0,"['Le Bi Youyou', 'Lebi Youyou', 'Rubi', '乐比悠悠']","['chinese animation', 'family friendly', 'kids', 'short episodes']",2000
Rubi Yoyo 2,TV,52,FINISHED,https://cdn.myanimelist.net/images/anime/1970/115312.jpg,420,0.0,"['Le Bi Youyou 2', 'Lebi Yoyo 2', 'Rubi', '乐比悠悠2']","['chinese animation', 'family friendly', 'kids', 'short episodes']",2001
Rubi Yoyo 3,TV,104,FINISHED,https://cdn.myanimelist.net/images/anime/1154/115313.jpg,420,0.0,"['Le Bi Youyou 3', 'Lebi Yoyo 3', '乐比悠悠3']","['chinese animation', 'family friendly', 'kids', 'short episodes']",2010
